Date;Open;High;Low;Close;Pivot;Resistance 1;Support 1;Resistance 2;Support 2;Resistance 3;Support 3;CPR Pivot;CPR BC;CPR TC
Fri Sep 27 2024 09:15:00 GMT+0530 (India Standard Time);42.9;51.9;41.95;49.15;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:16:00 GMT+0530 (India Standard Time);49.15;51;48.55;50.25;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:17:00 GMT+0530 (India Standard Time);50.45;50.7;49;49.05;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:18:00 GMT+0530 (India Standard Time);48.8;49.25;47.7;48.65;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:19:00 GMT+0530 (India Standard Time);48.65;48.8;47.4;48;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:20:00 GMT+0530 (India Standard Time);47.7;49.2;46.8;49.1;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:21:00 GMT+0530 (India Standard Time);49.05;54.5;48.55;53.75;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:22:00 GMT+0530 (India Standard Time);53.7;54.3;49.35;50.4;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:23:00 GMT+0530 (India Standard Time);50.45;55.2;50.2;53.85;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:24:00 GMT+0530 (India Standard Time);54;54.85;51;51.45;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:25:00 GMT+0530 (India Standard Time);50.9;52.6;50.7;50.75;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:26:00 GMT+0530 (India Standard Time);50.6;51.4;49.6;50.9;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:27:00 GMT+0530 (India Standard Time);51.05;51.9;50;50.5;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:28:00 GMT+0530 (India Standard Time);50.5;51.2;49.65;50.5;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:29:00 GMT+0530 (India Standard Time);50.45;50.45;48.1;48.75;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:30:00 GMT+0530 (India Standard Time);48.75;48.75;45.85;46.55;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:31:00 GMT+0530 (India Standard Time);46.55;48;45.5;47.95;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:32:00 GMT+0530 (India Standard Time);48;48.95;46.85;48.95;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:33:00 GMT+0530 (India Standard Time);48.85;50.3;48.75;49.8;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:34:00 GMT+0530 (India Standard Time);49.55;50.35;48.65;49.9;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:35:00 GMT+0530 (India Standard Time);49.85;53.4;49.6;50.7;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:36:00 GMT+0530 (India Standard Time);50.75;51.6;50.35;50.85;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:37:00 GMT+0530 (India Standard Time);50.95;52;50.8;51.5;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:38:00 GMT+0530 (India Standard Time);51.45;51.45;49.8;50;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:39:00 GMT+0530 (India Standard Time);49.95;50.05;48.35;48.6;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
